KATALOGVERSION_ID	MDC_CODE	BASISDRG_NAME	BASISDRG_CODE
2003	FE	Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose	901
2003	FE	Nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose	902
2003	FE	OR-Prozedur an der Prostata ohne Bezug zur Hauptdiagnose	903
2003	FE	Nicht gruppierbar	960
2003	FE	Unzulässige Hauptdiagnose	961
2003	FE	Unzulässige geburtshilfliche Diagnosekombination	962
2003	FE	Neonatale Diagnose unvereinbar mit Alter oder Gewicht	963
2003	PR	Lebertransplantation	A01
2003	PR	Multiorgantransplantation	A02
2003	PR	Lungentransplantation	A03
2003	PR	Knochenmarktransplantation	A04
2003	PR	Herztransplantation	A05
2003	PR	Langzeitbeatmung 11 Tage und mehr, jedes Alter, jeder Zustand	A06
2003	PR	Tracheostomie und/oder Langzeitbeatmung > 95 Stunden bis < 11 Tage, jedes Alter, jeder Zustand	A07
2003	PR	Extrakorporale Membranoxygenation (ECMO) ohne herzchirurgischen Eingriff	A40
2003	PR	Intubation, Alter < 16 Jahre	A41
2003	1	Revision eines Ventrikelshuntes ohne weitere OR-Prozeduren	B01
2003	1	Kraniotomie	B02
2003	1	Eingriffe an Wirbelsäule und Rückenmark	B03
2003	1	Eingriffe an den extrakraniellen Gefäßen	B04
2003	1	Dekompression bei Karpaltunnelsyndrom	B05
2003	1	Eingriffe bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie	B06
2003	1	Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems	B07
2003	1	Eingriffe bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie	B08
2003	1	Plasmapherese bei neurologischen Erkrankungen	B40
2003	1	Langzeit-Monitoring bei komplexer Epilepsie	B41
2003	1	Nicht akute Paraplegie/Tetraplegie mit oder ohne OR-Prozedur	B60
2003	1	Erkrankungen und Verletzungen des Rückenmarkes mit oder ohne OR-Prozedur	B61
2003	1	Stationäre Aufnahme zur Apherese	B62
2003	1	Demenz und andere chronische Störungen der Hirnfunktion	B63
2003	1	Delirium	B64
2003	1	Zerebrale Lähmungen	B65
2003	1	Neubildungen des Nervensystems, Alter	B66
2003	1	Degenerative Krankheiten des Nervensystems	B67
2003	1	Multiple Sklerose und zerebellare Ataxie	B68
2003	1	Transitorische ischämische Attacke (TIA) und extrakranielle Gefäßverschlüsse	B69
2003	1	Apoplexie	B70
2003	1	Erkrankungen an Hirnnerven und peripheren Nerven	B71
2003	1	Infektion des Nervensystems außer Virusmeningitis	B72
2003	1	Virusmeningitis	B73
2003	1	Stupor und Koma, nicht traumatisch bedingt	B74
2003	1	Fieberkrämpfe	B75
2003	1	Anfälle, Alter	B76
2003	1	Kopfschmerzen	B77
2003	1	Intrakranielle Verletzung	B78
2003	1	Schädelfrakturen	B79
2003	1	Andere Kopfverletzungen	B80
2003	1	Andere Erkrankungen des Nervensystems	B81
2003	2	Eingriffe bei penetrierenden Augenverletzungen	C01
2003	2	Enukleationen und Eingriffe an der Orbita	C02
2003	2	Eingriffe an der Retina	C03
2003	2	Große Eingriffe an Kornea, Sklera und Konjunktiva	C04
2003	2	Dakryozystorhinostomie	C05
2003	2	Komplexe Eingriffe bei Glaukom	C06
2003	2	Andere Eingriffe bei Glaukom	C07
2003	2	Große Eingriffe an der Linse	C08
2003	2	Andere Eingriffe an der Linse	C09
2003	2	Eingriffe bei Strabismus	C10
2003	2	Eingriffe am Augenlid	C11
2003	2	Andere Eingriffe an Kornea, Sklera und Konjunktiva	C12
2003	2	Eingriffe an Tränendrüse und Tränenwegen	C13
2003	2	Andere Eingriffe am Auge	C14
2003	2	Akute und schwere Augeninfektionen, Alter	C60
2003	2	Neurologische und vaskuläre Erkrankungen des Auges	C61
2003	2	Hyphäma und konservativ behandelte Augenverletzungen	C62
2003	2	Andere Erkrankungen des Auges	C63
2003	3	Kochleaimplantat	D01
2003	3	Eingriffe an Kopf und Hals	D02
2003	3	Operative Korrektur einer Lippen-Kiefer-Gaumen-Spalte	D03
2003	3	Operationen am Oberkiefer	D04
2003	3	Sialadenektomie	D05
2003	3	Eingriffe an Nasennebenhöhlen, Mastoid und komplexe Eingriffe am Mittelohr	D06
2003	3	Eingriffe an den Speicheldrüsen außer Sialadenektomie	D07
2003	3	Eingriffe an Mundhöhle und Mund	D08
2003	3	Verschiedene Eingriffe im HNO-Bereich	D09
2003	3	Rhinoplastik (mit oder ohne Turbinektomie)	D10
2003	3	Tonsillektomie oder Adenotomie	D11
2003	3	Andere Eingriffe im HNO-Bereich	D12
2003	3	Parazentese (Myringotomie) mit Einlegen eines Paukenröhrchens	D13
2003	3	Zahnextraktion und -wiederherstellung	D40
2003	3	Bösartige Neubildungen im HNO-Bereich	D60
2003	3	Gleichgewichtsstörungen (Schwindel)	D61
2003	3	Epistaxis	D62
2003	3	Otitis media und Infektionen der oberen Atemwege	D63
2003	3	Laryngotracheitis und Epiglottitis	D64
2003	3	Verletzung und Deformität der Nase	D65
2003	3	Andere Krankheiten im HNO-Bereich	D66
2003	3	Erkrankungen der Zähne und der Mundhöhle außer Zahnextraktion und -wiederherstellung	D67
2003	4	Große Eingriffe am Thorax	E01
2003	4	Andere OR-Prozeduren an den Atmungsorganen	E02
2003	4	Krankheit der Atmungsorgane mit maschineller Beatmung	E40
2003	4	Zystische Fibrose (Mukoviszidose	E60
2003	4	Lungenembolie	E61
2003	4	Infektionen und Entzündungen der Atmungsorgane	E62
2003	4	Schlafapnoesyndrom	E63
2003	4	Lungenödem und respiratorische Insuffizienz	E64
2003	4	Chronisch-obstruktive Atemwegserkrankung	E65
2003	4	Schweres Thoraxtrauma, Alter	E66
2003	4	Beschwerden und Symptome der Atmung	E67
2003	4	Pneumothorax	E68
2003	4	Bronchitis und Asthma bronchiale, Alter	E69
2003	4	Keuchhusten und akute Bronchiolitis	E70
2003	4	Neubildungen der Atmungsorgane	E71
2003	4	Störungen der Atmung mit Ursache in der Neonatalperiode	E72
2003	4	Pleuraerguss	E73
2003	4	Interstitielle Lungenerkrankung, Alter	E74
2003	4	Andere Krankheiten der Atmungsorgane, Alter	E75
2003	5	Implantation oder Wechsel eines Kardioverters/Defibrillators (AICD), komplettes System	F01
2003	5	Implantation oder Wechsel von Komponenten eines Kardioverters/Defibrillators (AICD)	F02
2003	5	Herzklappeneingriff mit Herz-Lungen-Maschine mit invasiver kardiologischer Diagnostik	F03
2003	5	Herzklappeneingriff mit Herz-Lungen-Maschine ohne invasive kardiologische Diagnostik	F04
