KATALOGVERSION_ID	MDC_CODE	BASISDRG_CODE	DRG_ID	DRG_NAME	DRG_CODE	DRG_PARTITION
2003	1	B08	2003_B08A	Eingriffe bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie mit äußerst schweren oder schweren CC, Alter > 17 Jahre	B08A	O
2003	1	B08	2003_B08B	Eingriffe bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie ohne äußerst schwere oder schwere CC, Alter > 17 Jahre	B08B	O
2003	1	B40	2003_B40Z	Plasmapherese bei neurologischen Erkrankungen	B40Z	A
2003	1	B41	2003_B41Z	Langzeit-Monitoring bei komplexer Epilepsie	B41Z	A
2003	1	B60	2003_B60A	Nicht akute Paraplegie/Tetraplegie mit oder ohne OR-Prozedur, mit äußerst schweren CC	B60A	M
2003	1	B60	2003_B60B	Nicht akute Paraplegie/Tetraplegie mit oder ohne OR-Prozedur, ohne äußerst schwere CC	B60B	M
2003	1	B61	2003_B61A	Erkrankungen und Verletzungen des Rückenmarkes mit oder ohne OR-Prozedur, mit äußerst schweren oder schweren CC	B61A	M
2003	1	B61	2003_B61B	Erkrankungen und Verletzungen des Rückenmarkes mit oder ohne OR-Prozedur, ohne äußerst schwere oder schwere CC	B61B	M
2003	1	B62	2003_B62Z	Stationäre Aufnahme zur Apherese	B62Z	M
2003	1	B63	2003_B63Z	Demenz und andere chronische Störungen der Hirnfunktion	B63Z	M
2003	1	B64	2003_B64Z	Delirium	B64Z	M
2003	1	B65	2003_B65Z	Zerebrale Lähmungen	B65Z	M
2003	1	B66	2003_B66A	Neubildungen des Nervensystems, Alter > 64 Jahre	B66A	M
2003	1	B66	2003_B66B	Neubildungen des Nervensystems, Alter < 65 Jahre	B66B	M
2003	1	B67	2003_B67A	Degenerative Krankheiten des Nervensystems mit äußerst schweren oder schweren CC	B67A	M
2003	1	B67	2003_B67B	Degenerative Krankheiten des Nervensystems ohne äußerst schwere oder schwere CC	B67B	M
2003	1	B68	2003_B68A	Multiple Sklerose und zerebellare Ataxie mit CC	B68A	M
2003	1	B68	2003_B68B	Multiple Sklerose und zerebellare Ataxie ohne CC	B68B	M
2003	1	B69	2003_B69A	Transitorische ischämische Attacke (TIA) und extrakranielle Gefäßverschlüsse mit äußerst schweren CC	B69A	M
2003	1	B69	2003_B69B	Transitorische ischämische Attacke (TIA) und extrakranielle Gefäßverschlüsse mit schweren CC	B69B	M
2003	1	B69	2003_B69C	Transitorische ischämische Attacke (TIA) und extrakranielle Gefäßverschlüsse ohne äußerst schwere oder schwere CC	B69C	M
2003	1	B70	2003_B70A	Apoplexie mit schwerer oder komplizierender Diagnose/Prozedur	B70A	M
2003	1	B70	2003_B70B	Apoplexie mit anderen CC	B70B	M
