FACHABT_ID;FACHABT_NAME;FACHABT_SCHWERPUNKT;
0102;Innere Medizin;Schwerpunkt Geriatrie;
0103;Innere Medizin;Schwerpunkt Kardiologie;
0104;Innere Medizin;Schwerpunkt Nephrologie;
0105;Innere Medizin;Schwerpunkt Hämatologie und internistische Onkologie;
0106;Innere Medizin;Schwerpunkt Endokrinologie;
0107;Innere Medizin;Schwerpunkt Gastroenterologie;
0108;Innere Medizin;Schwerpunkt Pneumologie;
0109;Innere Medizin;Schwerpunkt Rheumatologie;
0114;Innere Medizin;Schwerpunkt Lungen- und Bronchialheilkunde;
0150;Innere Medizin;Tumorforschung;
0151;Innere Medizin;Schwerpunkt Coloproktologie;
0152;Innere Medizin;Schwerpunkt Infektionskrankheiten;
0153;Innere Medizin;Schwerpunkt Diabetes;
0154;Innere Medizin;Schwerpunkt Naturheilkunde;
0156;Innere Medizin;Schwerpunkt Schlaganfallpatienten;
0224;Geriatrie;Schwerpunkt Frauenheilkunde;
0260;Geriatrie;Tagesklinik (für teilstationäre Pflegesätze);
0261;Geriatrie;Nachtklinik (für teilstationäre Pflegesätze);
0410;Nephrologie;Schwerpunkt Pädiatrie;
0436;Nephrologie;Intensivmedizin;
0510;Hämatologie und internistische Onkologie;Schwerpunkt Pädiatrie;
0524;Hämatologie und internistische Onkologie;Schwerpunkt Frauenheilkunde;
0533;Hämatologie und internistische Onkologie;Schwerpunkt Strahlenheilkunde;
0607;Endokrinologie;Schwerpunkt Gastroenterologie;
0610;Endokrinologie;Schwerpunkt Pädiatrie;
0706;Gastroenterologie;Schwerpunkt Endokrinologie;
0710;Gastroenterologie;Schwerpunkt Pädiatrie;
0910;Rheumatologie;Schwerpunkt Pädiatrie;
1004;Pädiatrie;Schwerpunkt Nephrologie;
1005;Pädiatrie;Schwerpunkt Hämatologie und internistische Onkologie;
1006;Pädiatrie;Schwerpunkt Endokrinologie;
1007;Pädiatrie;Schwerpunkt Gastroenterologie;
1009;Pädiatrie;Schwerpunkt Rheumatologie;
1011;Pädiatrie;Schwerpunkt Kinderkardiologie;
1012;Pädiatrie;Schwerpunkt Neonatologie;
1014;Pädiatrie;Schwerpunkt Lungen- und Bronchialheilkunde;
1028;Pädiatrie;Schwerpunkt Kinderneurologie;
1050;Pädiatrie;Schwerpunkt Perinatalmedizin;
1051;Pädiatrie;Langzeitbereich Kinder;
1136;Kinderkardiologie;Schwerpunkt Intensivmedizin;
1410;Lungen- und Bronchialheilkunde;Schwerpunkt Pädiatrie;
