"TARGET_ID","TREE_LEVEL","TREE_PATH","SOURCE_PATH","NAME","CHANGED","STARTDATE_SOURCE_PATH","ENDDATE_SOURCE_PATH","VISUALATTRIBUTE"
"1","0","\i2b2\","\i2b2\","","1","","","FAE"
"1","1","\i2b2\IG_IN_BA_UNGROUPED\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\"," IG_IN_BA_UNGROUPED","0","","","FAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHUEBERNAHME\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHUEBERNAHME\","004 Übernahme aus anderem KH?","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHUEBERNAHME\xml\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHUEBERNAHME\xml\","004 Übernahme aus anderem KH? (Numerical Query)","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ALTER\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ALTER\","001 Alter","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ALTER\xml\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ALTER\xml\","001 Alter (Numerical Query)","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_GESCHLECHT\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_GESCHLECHT\","002 Geschlecht","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_GESCHLECHT\236077445\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_GESCHLECHT\236077445\","Männlich","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_GESCHLECHT\236077446\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_GESCHLECHT\236077446\","Weiblich","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\","003 Krankenhausaufnahme","0","","","FAE"
