"TARGET_ID";"TREE_LEVEL";"TREE_PATH";"STAGING_PATH";"STAGING_DIMENSION";"C_NAME";"STARTDATE_STAGING_PATH";"ENDDATE_STAGING_PATH";"VISUALATTRIBUTES";"C_BASECODE";"C_METADATAXML";"C_COLUMNDATATYPE";"C_OPERATOR";"C_COMMENT";"C_TOOLTIP";"UPDATE_DATE";"DOWNLOAD_DATE";"IMPORT_DATE";"SOURCESYSTEM_CD";"VALUETYPE_CD";"M_APPLIED_PATH"
"0";"0";"\i2b2\";"\i2b2\";"concept_dimension";"i2b2";"";"";"FAE";;;;;;;;;;;;"@"
"0";"1";"\i2b2\customNode\";"";"concept_dimension";"01 popgen";;;"FAE";"|i2b2|customNode";"null";"null";"null";"null";"null";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode\t_10_glucose_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_10_glucose_F1\";"concept_dimension";"t_10_glucose_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_10_glucose_F1";"null";"T";"null";"null";"t_10_glucose_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_10_glucose_F1\NA\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_10_glucose_F1\NA\";"concept_dimension";"NA";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_10_glucose_F1:NA";"null";"T";"null";"null";"NA";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_10_glucose_F1\105\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_10_glucose_F1\105\";"concept_dimension";"105";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_10_glucose_F1:105";"null";"T";"null";"null";"105";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_10_glucose_F1\108\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_10_glucose_F1\108\";"concept_dimension";"108";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_10_glucose_F1:108";"null";"T";"null";"null";"108";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_10_glucose_F1\85\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_10_glucose_F1\85\";"concept_dimension";"85";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_10_glucose_F1:85";"null";"T";"null";"null";"85";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_10_glucose_F1\88\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_10_glucose_F1\88\";"concept_dimension";"88";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_10_glucose_F1:88";"null";"T";"null";"null";"88";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode\t_1086_skin_disease3_B_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_1086_skin_disease3_B_F1\";"concept_dimension";"t_1086_skin_disease3_B_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_1086_skin_disease3_B_F1";"null";"T";"null";"null";"t_1086_skin_disease3_B_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_1086_skin_disease3_B_F1\NA\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_1086_skin_disease3_B_F1\NA\";"concept_dimension";"NA";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_1086_skin_disease3_B_F1:NA";"null";"T";"null";"null";"NA";;;;"null";"null";"@"
